ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15051966,"16,350,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Odunluk Mahallesi Satılık Daire,217 M2,4+1,1,7,2.Kat,Yerden Isıtma,Krediye Uygun
15059032,"2,675,000",Bursa Satılık Daire,Gemlik Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,165 M2,3+1,21 Ve Üzeri,9,7.Kat,Kombi Doğalgaz,Krediye Uygun
15058273,"2,650,000",Bursa Satılık Daire,Osmangazi Satılık Daire,İbrahimpaşa Mahallesi Satılık Daire,95 M2,2.5+1,21 Ve Üzeri,5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15059082,"1,750,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Selimiye Mahallesi Satılık Daire,135 M2,3+1,5-10,4,Düz Giriş (Zemin),Kombi Doğalgaz,Bilinmiyor
15059297,"2,700,000",Bursa Satılık Daire,Mudanya Satılık Daire,Halitpaşa Mahallesi Satılık Daire,130 M2,3+1,16-20,6,4.Kat,Kombi Doğalgaz,Krediye Uygun
15059261,"2,950,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Kükürtlü Mahallesi Satılık Daire,150 M2,3+1,21 Ve Üzeri,5,3.Kat,Kombi Doğalgaz,Krediye Uygun
15066327,"1,500,000",Bursa Satılık Daire,Gemlik Satılık Daire,Kumla Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15059161,"2,980,000",Bursa Satılık Daire,Mudanya Satılık Daire,Güzelyalı Burgaz Mahallesi Satılık Daire,120 M2,4+1,0 (Yeni),5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15066627,"1,295,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Atariye Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,5,3.Kat,Kombi Doğalgaz,Krediye Uygun
15059160,"4,900,000",Bursa Satılık Daire,Mudanya Satılık Daire,Güzelyalı Burgaz Mahallesi Satılık Daire,175 M2,4+1,0 (Yeni),5,5.Kat,Kombi Doğalgaz,Krediye Uygun
