Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of floor,Floor of home,Credi Accepting,Kombi Doğalgaz Heating
4.950.000,Antalya,Kepez,Kuzeyyaka Mahallesi,115,3,3,2,Evet,0
4.950.000,Antalya,Manavgat,Ilıca Mahallesi,55,2,2,1,Bilinmiyor,0
4.950.000,Antalya,Muratpaşa,Yenigün Mahallesi,100,3,4,4,Evet,1
4.950.000,Antalya,Muratpaşa,Meydankavağı Mahallesi,145,4,4,2,Evet,0
4.950.000,Antalya,Muratpaşa,Meydankavağı Mahallesi,135,4,3,1,Evet,1
4.950.000,Antalya,Muratpaşa,Güzeloba Mahallesi,85,3,2,1,Evet,0
4.950.000,Antalya,Muratpaşa,Konuksever Mahallesi,80,3,3,0.5,Evet,1
4.950.000,Antalya,Kepez,Yeni Emek Mahallesi,95,3,3,3,Evet,0
4.950.000,Antalya,Muratpaşa,Güzeloba Mahallesi,55,2,2,0,Evet,0
4.950.000,Antalya,Muratpaşa,Kızılarık Mahallesi,85,3,4,0.5,Evet,1
4.950.000,Antalya,Serik,Gedik Mahallesi,135,4,5,4,Hayır,1
4.950.000,Antalya,Kepez,Mehmet Akif Ersoy Mahallesi,95,3,3,0.5,Evet,0
4.950.000,Antalya,Alanya,Güller Pınarı Mahallesi,55,2,5,-2,Evet,0
4.950.000,Antalya,Muratpaşa,Yeşilbahçe Mahallesi,180,4,7,7,Evet,1
4.950.000,Antalya,Kepez,Ayanoğlu Mahallesi,100,3,3,2,Evet,0
4.950.000,Antalya,Muratpaşa,Yenigün Mahallesi,150,4,5,2,Evet,0
4.950.000,Antalya,Alanya,Mahmutlar Mahallesi,67,2,10,2,Hayır,0
4.950.000,Antalya,Alanya,Oba Mahallesi,97,3,5,2,Evet,0
4.950.000,Antalya,Alanya,Avsallar Mahallesi,85,3,4,-3,Evet,0
4.950.000,Antalya,Alanya,Mahmutlar Mahallesi,250,5,13,13,Bilinmiyor,0
4.950.000,Antalya,Serik,Gedik Mahallesi,155,4,6,4,Evet,1
4.950.000,Antalya,Kepez,Gündoğdu Mahallesi,100,3,3,2,Evet,0
4.950.000,Antalya,Alanya,Cikcilli Mahallesi,58,2,5,3,Bilinmiyor,0
4.950.000,Antalya,Muratpaşa,Çağlayan Mahallesi,150,4,12,2,Evet,1
4.950.000,Antalya,Konyaaltı,Altınkum Mahallesi,75,3,3,0,Evet,1
4.950.000,Antalya,Kepez,Habibler Mahallesi,95,3,3,3,Evet,0
4.950.000,Antalya,Kepez,Gülveren Mahallesi,50,2,4,4,Hayır,0
4.950.000,Antalya,Konyaaltı,Hurma Mahallesi,55,2,5,-2,Evet,0
4.950.000,Antalya,Konyaaltı,Altınkum Mahallesi,75,3,2,1,Evet,0
4.950.000,Antalya,Kepez,Göksu Mahallesi,75,3,5,0.5,Hayır,0
4.950.000,Antalya,Muratpaşa,Kızılarık Mahallesi,145,4,4,1,Evet,1
4.950.000,Antalya,Alanya,Avsallar Mahallesi,60,2,4,3,Bilinmiyor,0
4.950.000,Antalya,Alanya,Payallar Mahallesi,52,2,9,5,Hayır,0
4.950.000,Antalya,Konyaaltı,Siteler Mahallesi,150,4,11,2,Evet,0
4.950.000,Antalya,Kepez,Teomanpaşa Mahallesi,220,6,4,3,Evet,0
4.950.000,Antalya,Muratpaşa,Demircikara Mahallesi,86,2,4,0,Evet,1
4.950.000,Antalya,Finike,Kale Mahallesi,80,3,3,0.5,Evet,0
4.945.000,Antalya,Konyaaltı,Sarısu Mahallesi,155,4,4,4,Bilinmiyor,1
4.940.470,Antalya,Konyaaltı,Uluç Mahallesi,155,4,13,12,Evet,1
4.920.000,Antalya,Kepez,Varsak Karşıyaka Mahallesi,110,3,3,1,Evet,0
4.910.000,Antalya,Alanya,Oba Mahallesi,130,3,5,3,Evet,0
4.900.000,Antalya,Muratpaşa,Kızıltoprak Mahallesi,75,3,5,1,Evet,1
4.900.000,Antalya,Aksu,Altıntaş Mahallesi,55,2,7,3,Hayır,0
4.900.000,Antalya,Aksu,Altıntaş Mahallesi,80,3,3,2,Hayır,0
4.900.000,Antalya,Kepez,Gazi Mahallesi,150,4,6,6,Evet,0
4.900.000,Antalya,Aksu,Altıntaş Mahallesi,80,3,3,2,Hayır,0
4.900.000,Antalya,Muratpaşa,Cumhuriyet Mahallesi,85,3,4,0,Evet,1
4.900.000,Antalya,Korkuteli,Aşağıpazar Mahallesi,110,3,2,1,Evet,0
4.900.000,Antalya,Kepez,Göksu Mahallesi,150,4,6,2,Evet,0
4.900.000,Antalya,Kepez,Varsak Menderes Mahallesi,110,3,4,2,Hayır,0
4.900.000,Antalya,Kepez,Yükseliş Mahallesi,105,3,3,0.5,Evet,0
4.900.000,Antalya,Kepez,Özgürlük Mahallesi,150,4,7,1,Evet,0
4.900.000,Antalya,Kepez,Özgürlük Mahallesi,135,4,7,5,Evet,0
4.900.000,Antalya,Kepez,Ayanoğlu Mahallesi,60,2,4,0,Hayır,0
4.900.000,Antalya,Kepez,Hüsnü Karakaş Mahallesi,120,4,3,3,Evet,0
4.900.000,Antalya,Alanya,Konaklı Mahallesi,55,2,9,5,Evet,0
4.900.000,Antalya,Muratpaşa,Fener Mahallesi,60,2,3,2,Evet,0
4.900.000,Antalya,Alanya,Cumhuriyet Mahallesi,170,5,5,4,Evet,0
4.900.000,Antalya,Muratpaşa,Güzeloba Mahallesi,110,3,2,1,Evet,0
4.900.000,Antalya,Kepez,Kanal Mahallesi,140,4,9,1,Evet,0
4.900.000,Antalya,Konyaaltı,Hurma Mahallesi,90,3,4,2,Evet,0
4.900.000,Antalya,Kepez,Demirel Mahallesi,50,2,4,4,Evet,0
4.900.000,Antalya,Alanya,Payallar Mahallesi,60,2,5,3,Evet,0
4.900.000,Antalya,Gazipaşa,Pazarcı Mahallesi,350,7,5,4,Evet,0
4.900.000,Antalya,Muratpaşa,Yenigün Mahallesi,160,4,7,0,Evet,0
4.900.000,Antalya,Alanya,Mahmutlar Mahallesi,120,3,11,10,Evet,0
4.900.000,Antalya,Kepez,Ayanoğlu Mahallesi,140,4,3,3,Evet,0
4.900.000,Antalya,Manavgat,Ilıca Mahallesi,100,3,3,2,Evet,0
4.900.000,Antalya,Aksu,Altıntaş Mahallesi,70,3,5,1,Bilinmiyor,0
4.900.000,Antalya,Alanya,Konaklı Mahallesi,52,2,10,5,Hayır,0
4.900.000,Antalya,Kaş,Kalkan Mahallesi,150,3,2,0,Evet,0
4.890.000,Antalya,Kepez,Yeni Emek Mahallesi,200,7,2,2,Evet,0
4.890.000,Antalya,Kepez,Gazi Mahallesi,85,3,3,2,Evet,0
4.890.000,Antalya,Muratpaşa,Dutlubahçe Mahallesi,140,4,4,2,Evet,0
4.880.000,Antalya,Alanya,Güller Pınarı Mahallesi,120,3,5,2,Bilinmiyor,0
4.875.000,Antalya,Kepez,Varsak Menderes Mahallesi,55,2,4,0.5,Hayır,0
4.875.000,Antalya,Alanya,Mahmutlar Mahallesi,250,4,10,9,Evet,0
4.875.000,Antalya,Alanya,Mahmutlar Mahallesi,120,3,10,9,Evet,0
4.870.886,Antalya,Finike,Kum Mahallesi,52,2,5,5,Evet,0
4.870.000,Antalya,Konyaaltı,Liman Mahallesi,150,4,8,4,Evet,0
4.870.000,Antalya,Finike,Yeni Mahallesi,145,4,5,3,Evet,0
4.865.000,Antalya,Alanya,Mahmutlar Mahallesi,115,3,9,1,Evet,0
4.850.000,Antalya,Manavgat,Sarılar Mahallesi,80,3,3,3,Evet,0
4.850.000,Antalya,Kepez,Varsak Karşıyaka Mahallesi,135,3,3,2,Evet,0
4.850.000,Antalya,Muratpaşa,Çağlayan Mahallesi,150,4,2,2,Evet,1
4.850.000,Antalya,Kepez,Karşıyaka Mahallesi,95,3,3,0.5,Evet,0
4.850.000,Antalya,Finike,Kum Mahallesi,120,3,5,3,Evet,0
4.850.000,Antalya,Konyaaltı,Liman Mahallesi,65,2,4,2,Evet,0
4.850.000,Antalya,Finike,Yeni Mahallesi,140,4,5,5,Evet,0
4.850.000,Antalya,Finike,Kum Mahallesi,56,2,4,2,Evet,0
4.850.000,Antalya,Konyaaltı,Uluç Mahallesi,80,3,2,0,Evet,1
4.850.000,Antalya,Alanya,Hacet Mahallesi,110,3,5,2,Bilinmiyor,0
4.850.000,Antalya,Konyaaltı,Hurma Mahallesi,85,3,4,3,Hayır,0
4.850.000,Antalya,Muratpaşa,Yenigün Mahallesi,120,4,4,3,Evet,1
4.850.000,Antalya,Alanya,Mahmutlar Mahallesi,230,4,9,9,Evet,0
4.850.000,Antalya,Kepez,Mehmet Akif Ersoy Mahallesi,118,3,4,1,Evet,1
4.850.000,Antalya,Alanya,Mahmutlar Mahallesi,115,3,5,3,Bilinmiyor,0
4.850.000,Antalya,Kepez,Mehmet Akif Ersoy Mahallesi,85,3,3,1,Hayır,0
4.850.000,Antalya,Alanya,Hacet Mahallesi,110,3,5,3,Bilinmiyor,0
4.850.000,Antalya,Muratpaşa,Meydankavağı Mahallesi,265,5,4,4,Evet,0
4.850.000,Antalya,Muratpaşa,Etiler Mahallesi,140,4,3,Bahçe Dublex,Evet,0
4.850.000,Antalya,Kepez,Özgürlük Mahallesi,70,2,3,0.5,Evet,0
4.850.000,Antalya,Kepez,Ayanoğlu Mahallesi,110,3,4,2,Evet,0
4.850.000,Antalya,Kepez,Çankaya Mahallesi,140,4,8,5,Evet,1
4.850.000,Antalya,Alanya,Çıplaklı Mahallesi,120,3,6,5,Bilinmiyor,0
4.850.000,Antalya,Kepez,Fevzi Çakmak Mahallesi,110,3,4,1,Hayır,0
4.850.000,Antalya,Alanya,Cikcilli Mahallesi,148,3,5,5,Hayır,0
4.850.000,Antalya,Kepez,Düdenbaşı Mahallesi,280,7,4,3,Evet,0
4.850.000,Antalya,Alanya,Cikcilli Mahallesi,120,3,10,5,Evet,0
4.850.000,Antalya,Muratpaşa,Güzeloba Mahallesi,122,3,2,2,Evet,1
4.850.000,Antalya,Döşemealtı,Yeşilbayır Mahallesi,280,7,3,2,Hayır,0
4.850.000,Antalya,Kepez,Zeytinlik Mahallesi,115,3,3,2,Evet,0
4.850.000,Antalya,Kepez,Göksu Mahallesi,124,4,6,4,Evet,0
4.850.000,Antalya,Kepez,Çankaya Mahallesi,130,3,5,2,Evet,0
4.836.094,Antalya,Alanya,Cikcilli Mahallesi,130,3,4,2,Evet,0
4.805.000,Antalya,Konyaaltı,Pınarbaşı Mahallesi,150,4,8,6,Evet,1
4.801.302,Antalya,Manavgat,Ilıca Mahallesi,220,5,3,3,Hayır,0
4.800.000,Antalya,Kumluca,Eskicami Mahallesi,160,4,6,6,Evet,0
4.800.000,Antalya,Kepez,Yükseliş Mahallesi,130,4,3,1,Evet,0
4.800.000,Antalya,Alanya,Mahmutlar Mahallesi,105,3,3,3,Bilinmiyor,0
4.800.000,Antalya,Konyaaltı,Liman Mahallesi,135,4,4,1,Evet,0
4.800.000,Antalya,Alanya,Oba Mahallesi,110,3,7,0.5,Bilinmiyor,0
4.800.000,Antalya,Kepez,Duraliler Mahallesi,125,3,8,2,Evet,0
4.800.000,Antalya,Muratpaşa,Kızıltoprak Mahallesi,110,3,4,0.5,Evet,1
4.800.000,Antalya,Alanya,Mahmutlar Mahallesi,75,2,5,3,Hayır,0
4.800.000,Antalya,Kepez,Yeni Mahallesi,190,4,3,3,Evet,1
4.800.000,Antalya,Alanya,Saray Mahallesi,160,4,5,5,Evet,0
4.800.000,Antalya,Kepez,Sütçüler Mahallesi,120,4,5,3,Bilinmiyor,1
4.800.000,Antalya,Muratpaşa,Memurevleri Mahallesi,160,4,5,4,Evet,1
4.800.000,Antalya,Alanya,Güller Pınarı Mahallesi,125,3,5,2,Hayır,0
4.800.000,Antalya,Konyaaltı,Hurma Mahallesi,125,4,5,2,Evet,1
4.800.000,Antalya,Kepez,Habibler Mahallesi,100,3,3,2,Evet,0
4.800.000,Antalya,Manavgat,Yukarı Pazarcı Mahallesi,145,4,5,3,Evet,0
4.800.000,Antalya,Kepez,Yeni Mahallesi,100,3,4,0,Evet,1
4.800.000,Antalya,Alanya,Mahmutlar Mahallesi,120,3,7,7,Bilinmiyor,0
4.800.000,Antalya,Alanya,Mahmutlar Mahallesi,70,2,12,2,Evet,0
4.800.000,Antalya,Alanya,Mahmutlar Mahallesi,130,3,8,8,Bilinmiyor,0
4.800.000,Antalya,Kepez,Zeytinlik Mahallesi,90,3,3,0.5,Evet,0
4.799.999,Antalya,Kepez,Çamlıbel Mahallesi,95,3,3,1,Evet,0
4.772.287,Antalya,Muratpaşa,Gebizli Mahallesi,115,3,4,1,Evet,1
4.770.000,Antalya,Kepez,Aktoprak Mahallesi,105,3,4,4,Evet,0
4.762.000,Antalya,Manavgat,Ilıca Mahallesi,130,4,3,2,Evet,0
4.760.000,Antalya,Kepez,Fevzi Çakmak Mahallesi,105,3,3,1,Evet,0
4.760.000,Antalya,Alanya,Mahmutlar Mahallesi,135,3,7,5,Evet,0
4.750.000,Antalya,Kepez,Şelale Mahallesi,135,4,10,8,Evet,0
4.750.000,Antalya,Manavgat,Sarılar Mahallesi,95,3,3,2,Evet,0
4.750.000,Antalya,Kemer,Merkez Mahallesi,75,3,2,0,Evet,0
4.750.000,Antalya,Manavgat,Aydınevler Mahallesi,150,4,5,3,Evet,0
4.750.000,Antalya,Kepez,Altınova Düden Mahallesi,100,3,3,3,Evet,0
4.750.000,Antalya,Alanya,Çıplaklı Mahallesi,100,3,5,4,Evet,0
4.750.000,Antalya,Konyaaltı,Öğretmenevleri Mahallesi,240,6,4,4,Evet,0
4.750.000,Antalya,Kepez,Gülveren Mahallesi,55,2,8,0,Evet,0
4.750.000,Antalya,Alanya,Cikcilli Mahallesi,130,3,11,7,Evet,0
4.750.000,Antalya,Konyaaltı,Uluç Mahallesi,80,3,2,0,Evet,1
4.750.000,Antalya,Alanya,Avsallar Mahallesi,90,3,4,1,Evet,0
4.750.000,Antalya,Alanya,Oba Mahallesi,250,4,4,1,Bilinmiyor,0
4.750.000,Antalya,Konyaaltı,Uncalı Mahallesi,176,4,8,3,Evet,1
4.750.000,Antalya,Alanya,Mahmutlar Mahallesi,175,4,13,13,Bilinmiyor,0
4.750.000,Antalya,Manavgat,Kızılağaç Mahallesi,85,3,2,1,Evet,0
4.750.000,Antalya,Manavgat,Sarılar Mahallesi,120,4,3,2,Evet,0
4.750.000,Antalya,Alanya,Güller Pınarı Mahallesi,95,3,5,1,Evet,0
4.750.000,Antalya,Konyaaltı,Hurma Mahallesi,100,3,4,0,Evet,0
4.750.000,Antalya,Finike,Kum Mahallesi,90,3,4,2,Evet,0
4.750.000,Antalya,Konyaaltı,Hurma Mahallesi,105,3,4,3,Evet,0
4.750.000,Antalya,Alanya,Kestel Mahallesi,120,7,5,Bahçe Dublex,Bilinmiyor,0
4.750.000,Antalya,Finike,Kum Mahallesi,130,4,4,4,Evet,0
4.750.000,Antalya,Kepez,Karşıyaka Mahallesi,100,3,3,1,Evet,0
4.750.000,Antalya,Serik,Belek Mahallesi,90,3,3,2,Evet,0
4.750.000,Antalya,Konyaaltı,Uluç Mahallesi,125,4,7,2,Evet,0
4.750.000,Antalya,Konyaaltı,Gürsu Mahallesi,95,3,4,0,Evet,0
4.750.000,Antalya,Konyaaltı,Hurma Mahallesi,60,2,5,3,Hayır,0
4.750.000,Antalya,Konyaaltı,Hurma Mahallesi,60,2,5,2,Hayır,0
4.750.000,Antalya,Manavgat,Sarılar Mahallesi,150,4,3,3,Evet,0
4.750.000,Antalya,Konyaaltı,Liman Mahallesi,155,4,4,1,Hayır,1
4.750.000,Antalya,Alanya,Mahmutlar Mahallesi,70,2,12,3,Evet,0
4.750.000,Antalya,Manavgat,Side Mahallesi,110,3,3,1,Evet,0
4.750.000,Antalya,Konyaaltı,Uncalı Mahallesi,140,4,7,4,Evet,0
4.750.000,Antalya,Konyaaltı,Gürsu Mahallesi,170,4,4,4,Hayır,0
4.750.000,Antalya,Konyaaltı,Gürsu Mahallesi,135,4,10,1,Hayır,1
4.750.000,Antalya,Finike,Kum Mahallesi,100,3,5,5,Evet,0
4.750.000,Antalya,Muratpaşa,Etiler Mahallesi,180,4,3,3,Evet,1
4.750.000,Antalya,Muratpaşa,Yüksekalan Mahallesi,220,7,3,3,Evet,0
4.750.000,Antalya,Muratpaşa,Kırcami Mahallesi,145,4,10,8,Hayır,1
4.750.000,Antalya,Aksu,Altıntaş Mahallesi,90,3,4,0.5,Evet,1
4.750.000,Antalya,Kepez,Güneş Mahallesi,90,3,12,11,Bilinmiyor,1
4.750.000,Antalya,Muratpaşa,Etiler Mahallesi,180,4,3,3,Evet,1
4.750.000,Antalya,Manavgat,Bahçelievler Mahallesi,120,3,4,1,Evet,0
4.750.000,Antalya,Muratpaşa,Yenigün Mahallesi,110,3,4,4,Evet,1
4.750.000,Antalya,Aksu,Altıntaş Mahallesi,95,3,4,4,Evet,1
4.750.000,Antalya,Alanya,Avsallar Mahallesi,60,2,9,5,Evet,0
4.750.000,Antalya,Muratpaşa,Cumhuriyet Mahallesi,135,4,5,3,Evet,1
4.750.000,Antalya,Gazipaşa,Aydın Mahallesi,85,3,4,3,Bilinmiyor,0
4.750.000,Antalya,Kepez,Kuzeyyaka Mahallesi,130,4,12,6,Hayır,0
4.750.000,Antalya,Muratpaşa,Meydankavağı Mahallesi,180,5,4,0.5,Evet,1
4.750.000,Antalya,Alanya,Güller Pınarı Mahallesi,115,3,9,7,Hayır,0
4.750.000,Antalya,Muratpaşa,Yüksekalan Mahallesi,95,3,3,2,Evet,0
4.750.000,Antalya,Konyaaltı,Hurma Mahallesi,70,3,4,2,Hayır,0
4.750.000,Antalya,Konyaaltı,Liman Mahallesi,170,4,4,3,Evet,1
4.750.000,Antalya,Konyaaltı,Hurma Mahallesi,135,4,4,4,Evet,0
4.750.000,Antalya,Kepez,Aydoğmuş Mahallesi,100,3,2,2,Evet,0
4.750.000,Antalya,Alanya,Avsallar Mahallesi,72,3,5,0,Evet,0
4.750.000,Antalya,Kepez,Şafak Mahallesi,115,3,8,7,Evet,0
4.750.000,Antalya,Alanya,Kadıpaşa Mahallesi,180,4,4,2,Evet,0
4.750.000,Antalya,Muratpaşa,Gebizli Mahallesi,135,4,4,1,Evet,1
4.750.000,Antalya,Muratpaşa,Zerdalilik Mahallesi,97,3,4,1,Bilinmiyor,1
4.750.000,Antalya,Alanya,Kargıcak Mahallesi,80,2,5,2,Hayır,0
4.750.000,Antalya,Muratpaşa,Zerdalilik Mahallesi,180,5,4,4,Bilinmiyor,1
4.750.000,Antalya,Alanya,Mahmutlar Mahallesi,110,3,5,2,Bilinmiyor,0
4.750.000,Antalya,Kepez,Kuzeyyaka Mahallesi,110,3,3,3,Evet,0
4.750.000,Antalya,Döşemealtı,Çıplaklı Mahallesi,105,3,4,3,Evet,0
4.750.000,Antalya,Döşemealtı,Yeniköy Mahallesi,100,3,6,4,Hayır,0
4.750.000,Antalya,Alanya,Mahmutlar Mahallesi,65,2,5,2,Hayır,0
4.750.000,Antalya,Alanya,Cikcilli Mahallesi,73,2,5,3,Hayır,0
4.750.000,Antalya,Alanya,Mahmutlar Mahallesi,120,3,8,8,Bilinmiyor,0
4.750.000,Antalya,Alanya,Cumhuriyet Mahallesi,115,3,5,1,Hayır,0
4.750.000,Antalya,Muratpaşa,Cumhuriyet Mahallesi,125,4,4,3,Evet,0
4.750.000,Antalya,Kepez,Hüsnü Karakaş Mahallesi,95,3,3,0.5,Evet,0
4.750.000,Antalya,Kepez,Hüsnü Karakaş Mahallesi,100,3,9,4,Evet,1
4.750.000,Antalya,Muratpaşa,Varlık Mahallesi,100,3,6,1,Evet,0
4.750.000,Antalya,Alanya,Avsallar Mahallesi,52,2,7,5,Evet,0
4.750.000,Antalya,Konyaaltı,Liman Mahallesi,350,6,4,4,Evet,0
4.750.000,Antalya,Konyaaltı,Uncalı Mahallesi,235,6,4,4,Evet,1
4.750.000,Antalya,Muratpaşa,Güzeloba Mahallesi,105,3,4,0,Evet,0
4.750.000,Antalya,Muratpaşa,Üçgen Mahallesi,170,4,3,1,Evet,1
4.750.000,Antalya,Kepez,Santral Mahallesi,120,4,10,9,Evet,0
4.749.000,Antalya,Alanya,Oba Mahallesi,100,3,4,0,Bilinmiyor,0
4.745.000,Antalya,Alanya,Cikcilli Mahallesi,135,4,5,5,Evet,0
4.745.000,Antalya,Muratpaşa,Zerdalilik Mahallesi,260,7,5,5,Hayır,1
4.735.000,Antalya,Muratpaşa,Fener Mahallesi,200,4,6,5,Evet,0
4.725.000,Antalya,Kepez,Kepez Mahallesi,60,2,10,4,Evet,0
4.725.000,Antalya,Alanya,Payallar Mahallesi,105,3,4,4,Evet,0
4.700.000,Antalya,Alanya,Oba Mahallesi,185,4,5,5,Evet,0
4.700.000,Antalya,Döşemealtı,Yeniköy Mahallesi,108,3,4,2,Evet,0
4.700.000,Antalya,Muratpaşa,Çaybaşı Mahallesi,125,3,7,2,Evet,0
4.700.000,Antalya,Alanya,Avsallar Mahallesi,65,2,5,1,Evet,0
4.700.000,Antalya,Alanya,Avsallar Mahallesi,135,4,9,9,Evet,0
4.700.000,Antalya,Alanya,Saray Mahallesi,130,6,5,4,Bilinmiyor,0
4.700.000,Antalya,Alanya,Mahmutlar Mahallesi,150,5,6,-1,Bilinmiyor,0
4.700.000,Antalya,Aksu,Altıntaş Mahallesi,135,4,3,3,Hayır,0
4.700.000,Antalya,Kemer,Çamyuva Mahallesi,75,3,2,2,Evet,0
4.700.000,Antalya,Alanya,Tosmur Mahallesi,135,3,8,6,Evet,0
4.700.000,Antalya,Alanya,Oba Mahallesi,140,4,5,5,Hayır,0
4.700.000,Antalya,Alanya,Oba Mahallesi,140,4,4,4,Hayır,0
4.700.000,Antalya,Kepez,Hüsnü Karakaş Mahallesi,95,3,2,2,Evet,0
4.700.000,Antalya,Alanya,Oba Mahallesi,110,3,4,3,Hayır,0
4.700.000,Antalya,Alanya,Oba Mahallesi,150,4,4,1,Hayır,0
4.700.000,Antalya,Konyaaltı,Sarısu Mahallesi,230,7,4,4,Evet,0
4.700.000,Antalya,Alanya,Çarşı Mahallesi,210,4,5,5,Evet,0
4.700.000,Antalya,Alanya,Mahmutlar Mahallesi,90,3,5,5,Bilinmiyor,0
4.700.000,Antalya,Manavgat,Sarılar Mahallesi,125,4,3,2,Evet,0
4.700.000,Antalya,Manavgat,Sarılar Mahallesi,115,4,3,0,Evet,0
4.700.000,Antalya,Manavgat,Sarılar Mahallesi,235,5,3,3,Evet,0
4.696.926,Antalya,Döşemealtı,Yeniköy Mahallesi,120,4,2,0.5,Evet,0
4.695.000,Antalya,Alanya,Mahmutlar Mahallesi,160,4,12,12,Bilinmiyor,0
4.695.000,Antalya,Kumluca,Meydan Mahallesi,125,3,6,2,Bilinmiyor,0
4.690.000,Antalya,Döşemealtı,Bahçeyaka Mahallesi,140,4,5,2,Evet,0
4.690.000,Antalya,Serik,Merkez Mahallesi,150,4,4,1,Hayır,0
4.690.000,Antalya,Alanya,Kargıcak Mahallesi,63,2,5,2,Bilinmiyor,0
4.690.000,Antalya,Kepez,Karşıyaka Mahallesi,210,5,4,0.5,Evet,0
4.679.000,Antalya,Konyaaltı,Hurma Mahallesi,70,2,4,0,Hayır,0
4.675.000,Antalya,Döşemealtı,Bahçeyaka Mahallesi,193,4,4,1,Hayır,1
4.675.000,Antalya,Kepez,Aydoğmuş Mahallesi,160,4,4,0.5,Hayır,0
4.675.000,Antalya,Muratpaşa,Sedir Mahallesi,50,2,4,1,Evet,1
4.675.000,Antalya,Konyaaltı,Toros Mahallesi,176,4,3,2,Evet,1
4.670.000,Antalya,Muratpaşa,Kızıltoprak Mahallesi,140,4,4,3,Evet,1
4.650.000,Antalya,Döşemealtı,Altınkale Mahallesi,200,5,2,1,Evet,0
4.650.000,Antalya,Kepez,Aydoğmuş Mahallesi,135,4,4,2,Evet,0
4.650.000,Antalya,Muratpaşa,Memurevleri Mahallesi,150,4,8,1,Evet,1
4.650.000,Antalya,Konyaaltı,Uncalı Mahallesi,150,4,8,4,Evet,1
4.650.000,Antalya,Konyaaltı,Liman Mahallesi,70,2,4,0.5,Hayır,1
4.650.000,Antalya,Muratpaşa,Bahçelievler Mahallesi,175,5,4,4,Evet,1
4.650.000,Antalya,Kepez,Ahatlı Mahallesi,100,3,3,0.5,Evet,0
4.650.000,Antalya,Kepez,Aktoprak Mahallesi,120,3,4,3,Evet,0
4.650.000,Antalya,Döşemealtı,Yeniköy Mahallesi,90,3,4,0,Evet,1
4.650.000,Antalya,Döşemealtı,Bahçeyaka Mahallesi,350,4,4,1,Hayır,1
4.650.000,Antalya,Kepez,Hüsnü Karakaş Mahallesi,135,4,3,3,Evet,0
4.650.000,Antalya,Kepez,Aydoğmuş Mahallesi,130,4,4,2,Evet,0
4.650.000,Antalya,Kepez,Kütükçü Mahallesi,100,3,4,1,Evet,0
4.650.000,Antalya,Kepez,Erenköy Mahallesi,250,7,3,2,Evet,0
4.650.000,Antalya,Kepez,Gazi Mahallesi,140,4,5,1,Evet,0
4.650.000,Antalya,Kepez,Ayanoğlu Mahallesi,75,3,3,0,Evet,0
4.650.000,Antalya,Muratpaşa,Doğuyaka Mahallesi,160,4,8,3,Evet,1
4.650.000,Antalya,Muratpaşa,Kızıltoprak Mahallesi,100,3,4,1,Evet,0
4.650.000,Antalya,Konyaaltı,Hurma Mahallesi,110,3,4,3,Hayır,0
4.650.000,Antalya,Konyaaltı,Liman Mahallesi,90,3,4,3,Hayır,0
4.650.000,Antalya,Aksu,Kundu Mahallesi,110,3,8,6,Evet,0
4.650.000,Antalya,Konyaaltı,Sarısu Mahallesi,50,2,10,5,Hayır,0
4.650.000,Antalya,Konyaaltı,Siteler Mahallesi,105,3,6,2,Evet,1
4.650.000,Antalya,Kepez,Yeni Mahallesi,85,3,3,3,Evet,0
4.650.000,Antalya,Muratpaşa,Muratpaşa Mahallesi,110,3,4,4,Hayır,0
4.650.000,Antalya,Alanya,Güller Pınarı Mahallesi,110,3,4,1,Hayır,0
4.650.000,Antalya,Döşemealtı,Yeniköy Mahallesi,117,3,2,-1,Evet,0
4.650.000,Antalya,Muratpaşa,Deniz Mahallesi,225,5,4,4,Hayır,1
4.650.000,Antalya,Alanya,Kargıcak Mahallesi,67,2,13,12,Hayır,0
4.650.000,Antalya,Alanya,Mahmutlar Mahallesi,95,3,12,8,Evet,0
4.650.000,Antalya,Muratpaşa,Güzelbağ Mahallesi,78,3,3,2,Evet,0
4.650.000,Antalya,Muratpaşa,Kızılarık Mahallesi,120,4,4,2,Evet,1
4.650.000,Antalya,Serik,Belek Mahallesi,240,5,3,2,Hayır,0
4.650.000,Antalya,Kemer,Çamyuva Mahallesi,75,3,2,0,Evet,0
4.650.000,Antalya,Kemer,Göynük Mahallesi,75,3,2,2,Evet,0
4.650.000,Antalya,Alanya,Bektaş Mahallesi,120,3,3,0,Hayır,0
4.650.000,Antalya,Alanya,Oba Mahallesi,65,2,5,5,Bilinmiyor,0
4.650.000,Antalya,Alanya,Mahmutlar Mahallesi,115,3,12,4,Bilinmiyor,0
4.650.000,Antalya,Kemer,Merkez Mahallesi,75,3,2,0,Evet,0
4.650.000,Antalya,Alanya,Mahmutlar Mahallesi,130,3,8,5,Evet,0
4.650.000,Antalya,Kepez,Kuzeyyaka Mahallesi,110,3,3,2,Evet,0
4.650.000,Antalya,Konyaaltı,Hurma Mahallesi,70,2,4,1,Evet,0
4.649.000,Antalya,Konyaaltı,Toros Mahallesi,70,2,4,0.5,Evet,0
4.630.000,Antalya,Alanya,Cikcilli Mahallesi,60,2,5,1,Evet,0
4.625.000,Antalya,Alanya,Kestel Mahallesi,90,3,4,0.5,Bilinmiyor,0
4.625.000,Antalya,Konyaaltı,Uncalı Mahallesi,170,4,13,10,Evet,0
