ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting
267495,3600000,Bursa,Gürsu,Kurtuluş Mah.,240,4+1,2,5-10 Arası,4,Doğalgaz (Kombi),Evet
263157,6500000,İzmir,Karaburun,Mordoğan Mah.,121,4+1,2,Sıfır,3,Klima,Evet
264491,8125000.0,Yalova,Armutlu,Karşıyaka Mah.,165,3+1,2,Sıfır,6,Doğalgaz (Kombi),Bilinmiyor
266119,19500000,Ordu,Perşembe,Tarlacık Mah.,400,6+3,4,İnşaat Halinde,3,Yerden Isıtma,Evet
258903,4387500.0,Ankara,Keçiören,19 Mayıs Mah.,260,6+2,2,16-20 Arası,2,Doğalgaz (Kombi),Evet
254541,5200000.0,İstanbul,Başakşehir,Güvercintepe Mah.,200,5+2,2,5-10 Arası,5,Doğalgaz (Kombi),
254785,2762500.0,Trabzon,Ortahisar,Üniversite Mah.,75,2+1,Hayır,Boş,6,Hayır,Var
264476,9262500.0,İstanbul,Kadıköy,Caferağa Mah.,123,3+1,1,30+,6,Merkezi Sistem,Evet
255636,2100000,Mersin,Yenişehir,Çiftlikköy Mah.,,3+1,1,26-30 Arası,9,Doğalgaz (Kombi),Evet
254739,81250000.0,İstanbul,Şişli,Harbiye Mah.,120,10+,8,30+,5,Doğalgaz (Kombi),Evet
255864,22262500.0,Trabzon,Ortahisar,1 Nolu Bostancı Mah.,250,4+1,3,Sıfır,2,Yerden Isıtma,Hayır
254783,15925000.0,İstanbul,Başakşehir,Bahçeşehir 2. Kısım Mah.,180,4+1,2,3,17,Merkezi Sistem,Bilinmiyor
255459,43750000,Muğla,Bodrum,Gündoğan Mah.,280,5+1,4,,,,
257448,4875000.0,Mersin,Silifke,Yeşilovacık Mah.,170,4+1,2,16-20 Arası,,Klima,Hayır
258469,7308000.0,Adana,Çukurova,Yurt Mah.,245,4+1,1,16-20 Arası,12,Doğalgaz (Kombi),Evet
258099,8125000.0,İstanbul,Pendik,Çınardere Mah.,75,2+1,1,4,10,Merkezi Sistem,Evet
253755,35750000.0,İzmir,Çeşme,Reisdere Mah.,180,5+1,3,2,2,Isı Pompası,Evet
257064,60152625.0,İstanbul,Arnavutköy,,450,7+2,7,Sıfır,4,VRV,Evet
258891,10500000,İstanbul,Kartal,Cumhuriyet Mah.,200,5+3,3,5-10 Arası,5,Doğalgaz (Kombi),Evet
250518,29250000.0,Sakarya,Sapanca,Nailiye Mah.,200,4+1,4,Sıfır,2,Doğalgaz (Kombi),Evet
258136,13300000,Antalya,Muratpaşa,Bahçelievler Mah.,105,2+1,1,30+,5,Klima,Evet
252080,30450000,İzmir,Güzelbahçe,Çamlı Mah.,350,4+1,3,11-15 Arası,2,Isı Pompası,Evet
252449,4700000,Bursa,,,260,4+1,Evet,Var,3,3,Doğalgaz (Kombi)
252065,3578575.0,İstanbul,Arnavutköy,Taşoluk Mah.,85,2+1,2,Sıfır,2,Doğalgaz (Kombi),Evet
253549,8750000,Antalya,Alanya,Mahmutlar Mah.,170,3+1,2,3,13,Klima,Evet
253252,2250000,Bursa,Nilüfer,Dumlupınar Mah.,45,1+1,1,5-10 Arası,4,Doğalgaz (Kombi),Evet
253356,2700000,Muğla,Ortaca,Beşköprü Mah.,95,2+1,3,Yok,4,Hayır,Hayır
252077,26000000,Bursa,Nilüfer,19 Mayıs Mah.,335,5+2,2,Sıfır,3,Yerden Isıtma,Evet
244656,19500000.0,Sakarya,Kaynarca,Turnalı Mah.,175,3+1,2,3,2,Doğalgaz (Kombi),Bilinmiyor
250803,19356837.5,İstanbul,Arnavutköy,Karaburun Mah.,240,4+2,4,Sıfır,4,Doğalgaz (Kombi),Evet
