ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
14971532,"1,825,000",Konya Satılık Daire,Karatay Satılık Daire,Karaaslandede Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),2,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun Değil
14970306,"2,498,000",Konya Satılık Daire,Karatay Satılık Daire,Akabe Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),5,Yüksek Giriş,Merkezi Doğalgaz,Krediye Uygun
14971712,"3,500,000",Konya Satılık Daire,Selçuklu Satılık Daire,Sancak Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),4,Yüksek Giriş,Yerden Isıtma,Krediye Uygun Değil
14970668,"1,320,000",Konya Satılık Daire,Meram Satılık Daire,Gödene Mahallesi Satılık Daire,85 M2,2+1,4,6,Bodrum Kat,Merkezi (Pay Ölçer),Krediye Uygun
14971632,"2,900,000",Konya Satılık Daire,Selçuklu Satılık Daire,Parsana Mahallesi Satılık Daire,135 M2,2+1,0 (Yeni),3,1.Kat,Yerden Isıtma,Krediye Uygun
14972824,"4,650,000",Konya Satılık Daire,Selçuklu Satılık Daire,Hocacihan Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),8,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun
14972106,"3,250,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selahaddin Eyyubi Mahallesi Satılık Daire,170 M2,3+1,0 (Yeni),3,Yüksek Giriş,Yerden Isıtma,Krediye Uygun
14967939,"1,590,000",Konya Satılık Daire,Meram Satılık Daire,Çaybaşı Mahallesi Satılık Daire,90 M2,1+1,5-10,3,3.Kat,Kombi Doğalgaz,Bilinmiyor
14973845,"3,900,000",Konya Satılık Daire,Selçuklu Satılık Daire,Erenköy Mahallesi Satılık Daire,145 M2,3+1,0 (Yeni),5,3.Kat,Yerden Isıtma,Krediye Uygun Değil
14974036,"1,950,000",Konya Satılık Daire,Meram Satılık Daire,Alakova Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),2,2.Kat,Yerden Isıtma,Krediye Uygun
