ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15139616,"3,500,000",Antalya Satılık Daire,Alanya Satılık Daire,Kızlar Pınarı Mahallesi Satılık Daire,150 M2,3+1,21 Ve Üzeri,4,4.Kat,Klimalı,Bilinmiyor
15139704,"6,000,000",Antalya Satılık Daire,Alanya Satılık Daire,Büyükhasbahçe Mahallesi Satılık Daire,230 M2,5+1,5-10,5,5.Kat,Klimalı,Bilinmiyor
15140822,"1,715,000",Antalya Satılık Daire,Kepez Satılık Daire,Göksu Mahallesi Satılık Daire,55 M2,1+1,11-15,4,Düz Giriş (Zemin),Klimalı,Krediye Uygun Değil
15140815,"2,100,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Güvenlik Mahallesi Satılık Daire,105 M2,2+1,16-20,3,3.Kat,Klimalı,Krediye Uygun
15140474,"4,000,000",Antalya Satılık Daire,Alanya Satılık Daire,Avsallar Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),7,6.Kat,Klimalı,Krediye Uygun Değil
15141037,"4,690,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Güvenlik Mahallesi Satılık Daire,150 M2,3+1,21 Ve Üzeri,8,7.Kat,Klimalı,Bilinmiyor
15140814,"2,899,000",Antalya Satılık Daire,Kepez Satılık Daire,Erenköy Mahallesi Satılık Daire,85 M2,2+1,0 (Yeni),5,1.Kat,Klimalı,Krediye Uygun Değil
15141785,"3,400,000",Antalya Satılık Daire,Manavgat Satılık Daire,Sarılar Mahallesi Satılık Daire,145 M2,3+1,4,3,3.Kat,Klimalı,Krediye Uygun Değil
15141082,"6,600,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Elmalı Mahallesi Satılık Daire,130 M2,3+1,16-20,3,1.Kat,Klimalı,Krediye Uygun
15140477,"4,320,000",Antalya Satılık Daire,Alanya Satılık Daire,Cikcilli Mahallesi Satılık Daire,105 M2,2+1,11-15,5,5.Kat,Klimalı,Krediye Uygun
15141410,"7,000,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Liman Mahallesi Satılık Daire,145 M2,3+1,16-20,10,4.Kat,Klimalı,Krediye Uygun
15141416,"1,800,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Soğuksu Mahallesi Satılık Daire,70 M2,2+1,16-20,5,Düz Giriş (Zemin),Klimalı,Bilinmiyor
15141898,"2,850,000",Antalya Satılık Daire,Kepez Satılık Daire,Varsak Menderes Mahallesi Satılık Daire,85 M2,2+1,1,4,3.Kat,Klimalı,Krediye Uygun Değil
15141810,"13,500,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Liman Mahallesi Satılık Daire,185 M2,3+1,21 Ve Üzeri,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15142096,"10,950,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Uncalı Mahallesi Satılık Daire,170 M2,3+1,16-20,7,4.Kat,Kombi Doğalgaz,Krediye Uygun
