ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15142422,"2,479,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Güzelyurt Mahallesi Satılık Daire,120 M2,2+1,4,6,1.Kat,Kombi Doğalgaz,Krediye Uygun
15142541,"1,739,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Balıkyolu Mahallesi Satılık Daire,120 M2,2+1,4,6,3.Kat,Kombi Doğalgaz,Krediye Uygun
15142582,"2,580,000",İstanbul Satılık Daire,Bahçelievler Satılık Daire,Yenibosna Merkez Mahallesi Satılık Daire,70 M2,2+1,4,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15145206,"1,699,999",İstanbul Satılık Daire,Esenyurt Satılık Daire,Sultaniye Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15144025,"2,180,000",İstanbul Satılık Daire,Bahçelievler Satılık Daire,Siyavuşpaşa Mahallesi Satılık Daire,85 M2,2+1,16-20,5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15142744,"1,199,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Piri Reis Mahallesi Satılık Daire,160 M2,2+2,0 (Yeni),5,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15145197,"799,999",İstanbul Satılık Daire,Esenyurt Satılık Daire,İstiklal Mahallesi Satılık Daire,110 M2,2+1,4,5,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15143292,"725,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Talatpaşa Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),5,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15096246,"1,350,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Ardıçlı Mahallesi Satılık Daire,70 M2,1+1,1,6,Bodrum Kat,Kombi Doğalgaz,Krediye Uygun
15136204,"9,750,000",İstanbul Satılık Daire,Kartal Satılık Daire,Esentepe Mahallesi Satılık Daire,124 M2,2+1,0 (Yeni),14,13.Kat,Yerden Isıtma,Krediye Uygun
15096650,"3,570,000",İstanbul Satılık Daire,Bahçelievler Satılık Daire,Zafer Mahallesi Satılık Daire,125 M2,3+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15088554,"1,500,000",İstanbul Satılık Daire,Esenler Satılık Daire,Birlik Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,5,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15095380,"725,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Talatpaşa Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),5,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15149074,"2,450,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Güzelyurt Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),5,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15098574,"3,300,000",İstanbul Satılık Daire,Silivri Satılık Daire,Yeni Mahallesi Satılık Daire,110 M2,2+1,1,5,Bahçe Katı,Merkezi (Pay Ölçer),Krediye Uygun
15101552,"2,600,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yenikent Mahallesi Satılık Daire,130 M2,3+1,5-10,6,2.Kat,Kombi Doğalgaz,Krediye Uygun
15103288,"2,790,000",İstanbul Satılık Daire,Silivri Satılık Daire,Yeni Mahallesi Satılık Daire,95 M2,2+1,16-20,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15103538,"2,250,000",İstanbul Satılık Daire,Fatih Satılık Daire,Derviş Ali Mahallesi Satılık Daire,80 M2,2+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15102178,"2,250,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yenikent Mahallesi Satılık Daire,100 M2,2+1,5-10,6,3.Kat,Kombi Doğalgaz,Krediye Uygun
15102354,"2,550,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yenikent Mahallesi Satılık Daire,100 M2,2+1,1,6,1.Kat,Kombi Doğalgaz,Krediye Uygun
15102788,"2,250,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yenikent Mahallesi Satılık Daire,100 M2,2+1,5-10,6,3.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15107344,"2,895,000",İstanbul Satılık Daire,Maltepe Satılık Daire,İdealtepe Mahallesi Satılık Daire,60 M2,1+1,5-10,4,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15112080,"2,400,000",İstanbul Satılık Daire,Esenler Satılık Daire,Kazım Karabekir Mahallesi Satılık Daire,110 M2,2+1,21 Ve Üzeri,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15116553,"1,950,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Talatpaşa Mahallesi Satılık Daire,105 M2,2+1,5-10,5,1.Kat,Kombi Doğalgaz,Krediye Uygun
15118313,"3,570,000",İstanbul Satılık Daire,Başakşehir Satılık Daire,Güvercintepe Mahallesi Satılık Daire,130 M2,3+1,0 (Yeni),4,3.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15121358,"4,100,000",İstanbul Satılık Daire,Şişli Satılık Daire,Kuştepe Mahallesi Satılık Daire,140 M2,3+1,5-10,4,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15086167,"8,750,000",İstanbul Satılık Daire,Pendik Satılık Daire,Batı Mahallesi Satılık Daire,175 M2,4+2,0 (Yeni),6,6.Kat,Kombi Doğalgaz,Krediye Uygun
