ilan no,Price,City,Town,Date,Neighbourhood,Tapu Status,Structure Status,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting,Seller,Swap
1978,1.200.000,İstanbul (Avr),Arnavutköy,18/12/22,Anadolu Mahallesi,Kat mülkiyeti,1,85,2+1,1,1,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1984,2.800.000,Aydın,Kuşadası,20/12/22,Türkmen Mahallesi,SAHİBİNDEN KAT MÜLKİYETLİ SORUNSUZ,İYİ,130 M,2+2,1,16-20 arası,5,Klima,Hayır,Sahibinden,Hayır
2001,1.100.000,Malatya,Battalgazi,21/12/22,Zafer Mahallesi,Sahibinden,Kullanışlı,400,5+1,2,11-15 arası,4,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
2254,980.000,İstanbul (Avr),Esenyurt,03/02/23,,Kat Mülkiyetli,-,85,2+1,1,0,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
2340,2.850.000,Çorum,Merkez,18/02/23,Bahçelievler Mahallesi,-,-,165,4+1,1,0,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
2021,2.500.000,Eskişehir,Tepebaşı,27/12/22,Şarhöyük Mahallesi,Müstakil,-,"176,21",3+1,,,-,,,Sahibinden,Hayır
2090,1.000.000,Kahramanmaraş,Dulkadiroğlu,05/01/23,Yeni Şehir Mahallesi,KAT İRTİFAKI,Eski yapı,550.05 BRÜT NET 100,5+1,1,26-30 arası,7,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
2215,3.550.000,Balıkesir,Ayvalık,28/01/23,Küçükköy Mahallesi,Kat İtrifakı,İkinci El,200,3+1,2,16-20 arası,3,Klima,Evet,Emlak Ofisi,Hayır
1779,940.000,Hatay,Antakya‎,29/12/22,Odabaşı Mahallesi,MÜSTAKİL,-,113+2  = 115,2+1,1,5-10 arası,7,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
2132,1.150.000,İstanbul (Avr),Esenyurt,12/01/23,Namık Kemal Mahallesi,Kat itifakli,Sıfır bina,100,2+1,,1,10,Merkezi Sistem,Evet,Sahibinden,Hayır
2098,7.000.000,İstanbul (Asya),Beykoz,07/01/23,Anadolu Hisarı Mahallesi,Hisseli,Bina,190,3+1,2,21-25 arası,1,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1349,1.850.000,Şanlıurfa,Eyyübiye,16/01/23,Haleplibahçe Mahallesi,var,Betonarme,135,3+1,1,4,4,Soba,Hayır,Sahibinden,Hayır
2110,1.465.000,İzmir,Torbalı,08/01/23,Atatürk Mahallesi,Kat irtifaki,Bina,130,3+1,1,2,2,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
2112,1.850.000,İzmir,Torbalı,08/01/23,Fevzi Çakmak Mahallesi,Kat irtifaki,Bina,130,3+1,2,5-10 arası,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
2076,7.000.000,İstanbul (Asya),Beykoz,03/01/23,Anadolu Hisarı Mahallesi,Hisseli,-,190,3+1,2,21-25 arası,1,Doğalgaz (Kombi),,Sahibinden,Hayır
2111,1.250.000,İzmir,Torbalı,08/01/23,İnönü Mahallesi,Kat irtifaki,Bina,85,2+1,1,0,6,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
2156,1.900.000,Antalya,Kepez,16/01/23,Kütükçü Mahallesi,Kat irtifakı,Sıfır,90,2+1,2,0,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1914,3.250.000,Aydın,Didim,14/12/22,Akbük Mahallesi,KAT MÜLKİYETİ,KULLANILMIŞ,140,3+1,2,5-10 arası,2,Klima,Evet,Emlak Ofisi,Hayır
1812,3.850.000,İzmir,Torbalı,31/10/22,Fevzi Çakmak Mahallesi,Katmülkiyeti,Betonarme,560,5+1,2,11-15 arası,2,Klima,Evet,Sahibinden,Hayır
2175,2.400.000,İzmir,Torbalı,21/01/23,Fevzi Çakmak Mahallesi,Kat irtıfakı,-,220,3+1,2,5-10 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1830,1.580.000,İzmir,Çiğli,05/11/22,Atatürk Mahallesi,Mülkiyet,-,130,3+1,1,16-20 arası,10,Doğalgaz (Kombi),,Sahibinden,Hayır
1841,1.545.000,Tekirdağ,Marmaraereğlisi,09/11/22,Yeniçiftlik Mahallesi,KAT İRTİFAKLI,BETONARME,165,2+1,2,0,2,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
2151,2.400.000,İzmir,Torbalı,18/01/23,Fevzi Çakmak Mahallesi,Katirtifaki,-,220,3+1,2,5-10 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1722,1.750.000,Mersin,Silifke,02/11/22,Taşucu Mahallesi,kat mülkiyeti,betonarme,110,3+1,1,21-25 arası,2,Klima,Evet,Sahibinden,Hayır
1820,4.000,Ankara,Keçiören,03/11/22,Şenlik Mahallesi,-,-,130,3+1,1,,-,,,,
1861,1.860.000,Muğla,Ortaca,11/11/22,Bahçelievler Mahallesi,MÜSTAKİL,DAİRE,145,3+1,2,4,4,Klima,Evet,Emlak Ofisi,Hayır
2163,850.000,Eskişehir,Tepebaşı,19/01/23,Uluönder Mahallesi,Kat Mülkiyetli,2.El,75,1+1,1,11-15 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1961,620.000,Diyarbakır,Yenişehir,16/01/23,Üçkuyu  Mahallesi,TOKI,TOKI,65,2+1,1,5-10 arası,10,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1855,1.625.000,Muğla,Ortaca,11/11/22,Karaburun Mahallesi,MÜSTAKİL,DAİRE,118,3+1,1,0,2,Klima,Hayır,Emlak Ofisi,Hayır
1501,1.000.000,Adana,İmamoğlu,27/08/22,Hürriyet Mahallesi,Var,18,115,4+1,1,16-20 arası,2,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
1860,1.150.000,Muğla,Ortaca,11/11/22,Karaburun Mahallesi,MÜSTAKİL,1,60,1+1,1,0,"1,2,3,4",Klima,Hayır,Emlak Ofisi,Hayır
1507,4.295.000,Tokat,Merkez,31/08/22,Karşıyaka Mahallesi,Kat Mülkiyetli,-,-,5+1,3,16-20 arası,3,Doğalgaz Sobası,Hayır,Sahibinden,Hayır
1523,300.000,Edirne,Keşan,03/09/22,Yukarı Zaferiye Mahallesi,Kat Mülkiyetli,-,60,1+1,1,16-20 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Evet
1895,620.000,Ankara,Etimesgut,20/11/22,Topçu Mahallesi,KAT MÜLKİYETLİ,İKİNCİ EL,100,2+1,1,11-15 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1859,5.250.000,Denizli,Acıpayam,11/11/22,Aşağı Mahallesi,MÜSTAKİL,VİLLA,403,6+2,3,4,5,Klima,Evet,Emlak Ofisi,Hayır
1526,420.000,Ankara,Mamak,06/09/22,General Zeki Doğan Mahallesi,kat mülküyeti,bina,90,2+1,1,,5,,Evet,Sahibinden,Hayır
1549,500.000,,,09/09/22,,Müstakil,1996,90,,,,4,,,,
1547,500.000,,,09/09/22,,Müstakil,1996 yapım,90,,,,4,,,,
916,8.500.000,Aydın,Kuşadası,17/09/22,Yeniköy Mahallesi,Arsa tapulu,-,120,3+1,2,0,1,Yerden Isıtma,Evet,Sahibinden,Evet
1638,340.000,Aydın,Kuşadası,22/09/22,Güzelçamlı Mahallesi,-,-,60,1+1,1,0,2,,Evet,İnşaat Firması,Evet
1637,340.000,Sakarya,Sapanca,22/09/22,Göl Mahallesi,-,-,60,1+1,1,0,2,Klima,Evet,İnşaat Firması,Evet
1639,340.000,Tekirdağ,Şarköy,22/09/22,,-,-,60,1+1,1,0,2,,Evet,İnşaat Firması,Evet
1645,1.360.000,Ankara,Mamak,23/09/22,Derbent Mahallesi,Tapulu,-,125,3+1,2,5-10 arası,16,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1643,480.000,Ankara,Mamak,23/09/22,Kusunlar Mahallesi,Devirli,Tamam,85,2+1,1,11-15 arası,11,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
1856,1.325.000,Muğla,Ortaca,11/11/22,Cumhuriyet Mahallesi,MÜSTAKİL,DAİRE,92,2+1,1,5-10 arası,3,Klima,Hayır,Emlak Ofisi,Hayır
1508,810.000,İstanbul (Avr),Kağıthane,31/08/22,Gültepe Mahallesi,hisseli,1993,70,2+1,1,26-30 arası,5,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
846,4.000.000,Antalya,Konyaaltı,29/06/22,Öğretmenevleri Mahallesi,KAT İRTİFAK,2.EL,170,3+1,2,21-25 arası,9,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
850,1.325.000,Antalya,Manavgat,26/06/22,Side Mahallesi,KAT İRTİFAK,SIFIR,90,2+1,1,11-15 arası,3,Klima,Evet,Emlak Ofisi,Hayır
913,1.300.000,Kayseri,Develi,22/06/22,Cumhuriyet Mahallesi,bizde,-,-,3+1,2,3,4,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
907,1.100.000,İzmir,Tire,21/06/22,İstiklal Mahallesi,-,-,-,3+1,1,0,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
957,1.550.000,İstanbul (Avr),Esenyurt,02/07/22,Mehterçeşme Mahallesi,KAT İRTİFAKI,İKİNCİ EL,148,2+1,1,5-10 arası,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
926,990.000,Ankara,Keçiören,27/06/22,Şehit Kubilay Mahallesi,Var,Sifir,155,3+1,2,0,16,Doğalgaz (Kombi),Evet,İnşaat Firması,Evet
958,1.550.000,İstanbul (Avr),Şişli,03/07/22,H.Edip Adıvar Mahallesi,Arsa tapulu,-,90,2+1,1,11-15 arası,5,Doğalgaz Sobası,Hayır,Sahibinden,
1061,55.000,Aydın,Didim,06/07/22,Efeler Mahallesi,KAT MÜLKİYETİ,BETONARME,50,1+1,1,5-10 arası,3,Klima,,Sahibinden,Hayır
928,750.000,Muğla,Bodrum,27/06/22,Güvercinlik Mahallesi,VAR,BETONARME,302,3+1,2,21-25 arası,2,Kat Kaloriferi,Evet,Sahibinden,Hayır
1066,700.000,İstanbul (Asya),Ümraniye,07/07/22,Esenevler Mahallesi,-,-,130,3+1,1,5-10 arası,8,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1059,1.000.000,Konya,Karatay,06/07/22,Çatalhüyük Mahallesi,Kat ittifaki,Yeni bina,100 net,2+1,1,1,2,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1101,525.000,Yalova,Çınarcık,12/07/22,Cumhuriyet Mahallesi,Kat mülkiyeti,Betonarme,65,,,,5,,,,
1230,320.000,,,25/07/22,,-,-,1022,,,,-,,,,
1260,370.000,Van,Edremit,27/07/22,,HAZIR,-,85,2+1,1,5-10 arası,-,Doğalgaz Sobası,Evet,Emlak Ofisi,Hayır
1204,340.000,Manisa,Soma,20/07/22,Hamidiye Mahallesi,Tapu var,Betonarme,90,2+1,1,16-20 arası,5,Soba,Hayır,Sahibinden,Hayır
1280,2.100.000,Antalya,Aksu,29/07/22,Altıntaş Mahallesi,tapulu,sıfır,-,1+1,1,0,-,,,Emlak Ofisi,
1492,2.800.000,Aydın,Efeler,23/08/22,Efeler Mahallesi,KAT MÜLKİYETİ,BOŞ,160,3+1,1,21-25 arası,2,Doğalgaz (Kombi),Evet,Sahibinden,Evet
1261,1.300.000,Van,İpekyolu,01/08/22,Şerefiye Mahallesi,HAZIR,-,-,3+1,1,0,5,Doğalgaz Sobası,,,
1103,900.000,Muğla,Yatağan,19/08/22,Eskihisar Mahallesi,Arsa tapulu,İyi,882,3+1,1,16-20 arası,1,Soba,Hayır,Sahibinden,Hayır
1458,199.000,Balıkesir,Erdek,15/08/22,,Depo-Bodrumkat,Kaba Insaat,8/160,,Yok,21-25 arası,5,Yok,Hayır,Sahibinden,Hayır
1662,1.480.000,Ankara,Etimesgut,28/09/22,Eryaman Mahallesi,KAT MÜLKİYETLİ,BETONARME,130,3+1,1,5-10 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1392,2.750.000,İstanbul (Asya),Üsküdar,06/08/22,Bahçelievler Mahallesi,KAT MÜLKİYETLİ HİSSESİZ,İYİ,120 M2  BRÜT,2+1,1,16-20 arası,6,Kat Kaloriferi,,Sahibinden,
1690,2.500.000,İstanbul (Avr),Fatih,06/10/22,İskenderpaşa Mahallesi,Var,İkinci El,120,2+2,2,31 ve üzeri,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1691,1.300.000,Kocaeli,Körfez,06/10/22,Fatih Mahallesi,Tapusu var,İmarlı,130 m 2,3+1,2,5-10 arası,2,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
671,349.900,İstanbul (Avr),Beyoğlu,07/05/22,Küçük Piyale Mahallesi,Kat mülkiyetli,Var,80,2+1,2,26-30 arası,4,Yok,Hayır,Sahibinden,Hayır
1211,2.750,Kayseri,Melikgazi,25/07/22,Becen Mahallesi,Kat irtifakı bagimsiz,Sifir,155,3+1,2,0,2,Doğalgaz (Kombi),Evet,Sahibinden,Evet
669,820.000,Ankara,,05/05/22,,Kat mulkiyeti,Rezidans,90,,,,11,,,,
1487,2.270.000,İstanbul (Asya),Pendik,23/08/22,Yenişehir Mahallesi,Kat mülkiyeti,Daire,-,3+1,1,11-15 arası,8,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
746,650.000,Mersin,Yenişehir,20/05/22,Palmiye Mahallesi,Kat,Sıfır,55 net,1+1,1,0,5,Yok,Evet,Sahibinden,Hayır
660,3.750.000,,,30/04/22,,Kat mülkiyeti,Betonarme,173,,,,7,,,,
675,349.900,İstanbul (Avr),Beyoğlu,07/05/22,Küçük Piyale Mahallesi,Kat mülkiyetli,Var,80,2+1,2,26-30 arası,4,Yok,Hayır,Sahibinden,Hayır
747,570.000,Adıyaman,Gölbaşı,20/05/22,Hürriyet Mahallesi,kat mülkiyeti,daire,110,2+1,1,0,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
694,850.000,Diyarbakır,Kayapınar,12/05/22,Barış  Mahallesi,Kat mülkiyeti,Kiracilı,200,3+1,,5-10 arası,8,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
745,1.350.000,Mersin,Yenişehir,20/05/22,Bahçelievler Mahallesi,Kat,İkinci el,60 net,1+1,1,5-10 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
761,589.000,,,24/05/22,,Sahibinden,16,140,,,,4,,,,
789,520.000,Samsun,Bafra,01/06/22,Kavakpınar Mahallesi,var,iyi,160,4+1,1,,5,Kat Kaloriferi,Evet,Sahibinden,Hayır
1347,2.100.000,,,01/08/22,,Kat mülkiyeti,"40 yil ve sonrasına ait, betonarme",120,,,,4,,,,
740,1.150.000,Diyarbakır,Bağlar,24/05/22,Bağcılar Mahallesi,2.el,10 ay,Net 135,3+1,2,0,7,Merkezi Sistem,Evet,Sahibinden,
842,750.000,Zonguldak,Kozlu,08/06/22,19 Mayıs Mahallesi,Kat mülkiyeti,Yapılıyor,57,2+1,1,0,9,Yerden Isıtma,Evet,Sahibinden,
790,1.380.000,İstanbul (Avr),Bahçelievler,01/06/22,Kocasinan Merkez Mah.,Kat ittifaklı,13,120,2+1,1,11-15 arası,6,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
775,1.000.000,Van,İpekyolu,29/05/22,Alipaşa Mahallesi,Kat mülkiyetli,Bitmist,160,3+1,1,3,7,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
153,400.000,Ankara,Yenimahalle,20/01/22,Demetlale Mahallesi,İmarlı,Kombili,125,3+1,1,31 ve üzeri,2,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
766,3.000.000,Ankara,Yenimahalle,25/05/22,Uğur Mumcu Mahallesi,KAT MÜLKİYETİ,YENİ,190,3+1,1,5-10 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
150,695.000,Düzce,Merkez,20/01/22,Nusrettin Mahallesi,Müstakil,Kat mülkiyeti,110,3+1,2,2,3,Kat Kaloriferi,Evet,Sahibinden,Evet
342,550,İstanbul (Avr),Esenyurt,06/03/22,Mehterçeşme Mahallesi,Var,Yeni bina,75 metrekare,1+1,1,3,Yüksek giriş,Doğalgaz Sobası,Evet,Sahibinden,Hayır
275,2.500.000,Aydın,Didim,22/02/22,Çamlık Mahallesi,Süper,İyi,170,3+1,2,0,3,,Evet,İnşaat Firması,Hayır
390,710.001.000,Erzurum,Palandöken,18/03/22,Hüseyin Avni Ulaş Mahallesi,Tapu hazır,-,135,3+1,2,0,7,Merkezi Sistem,Evet,İnşaat Firması,Hayır
274,2.500.000,Aydın,Didim,22/02/22,Çamlık Mahallesi,Iyi,Iyi,170,3+1,2,0,3,,Evet,Emlak Ofisi,Hayır
444,1.700.000,Adana,Yüreğir,29/03/22,P.T.T Mahallesi,Müstakil,Müstakil,268m2,3+1,1,11-15 arası,3,,Evet,Sahibinden,Hayır
590,2.900.000,Antalya,Konyaaltı,13/04/22,Hurma Mahallesi,-,bet,170,3+1,2,5-10 arası,4,Klima,Evet,Emlak Ofisi,Hayır
318,98.000,İzmir,,12/04/22,,Tek,Taş dolu tuğla,240,1+1,Yok,31 ve üzeri,Müstakil,Soba,Hayır,Emlak Ofisi,Hayır
414,190.000,Kars,Kars (il merkezi),21/03/22,Yenişehir Mahallesi,Hazır,İyi,85,2+1,1,4,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
427,938.000,Ankara,Mamak,24/03/22,Altınevler Mahallesi,Kat Maliki,Sıfır hiç kullanılmamış,90,2+1,2,0,15,Merkezi Sistem,Evet,Sahibinden,Evet
595,7.500.000,Antalya,Konyaaltı,13/04/22,Kuşkavağı Mahallesi,KAT İRTİFAK,BET,180,3+1,2,16-20 arası,9,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
574,2.800.000,Antalya,Konyaaltı,13/04/22,Hurma Mahallesi,DUBLEX DAİRE,bet,210,4+1,2,11-15 arası,4,,Evet,Emlak Ofisi,Hayır
280,2.000.000,İstanbul (Asya),Ümraniye,23/02/22,Cemil Meriç Mahallesi,Kat mülkiyeti,Betonarme,115,3+1,2,11-15 arası,10,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
623,975.000,İstanbul (Avr),Küçükçekmece,20/04/22,Gültepe Mah.,Kat itifakli,Beton arme,80,2+1,1,0,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
524,1.350.000,Şanlıurfa,Karaköprü,09/04/22,Akpınar Mahallesi,-,-,170,4+1,2,0,8,Doğalgaz (Kombi),Evet,Emlak Ofisi,
593,4.750.000,Antalya,Konyaaltı,13/04/22,Kuşkavağı Mahallesi,KAT İRTİFAK,bet,105,2+1,2,16-20 arası,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
854,600.000,Sakarya,Karasu,10/06/22,İncilli Mahallesi,Kat irtifak,Betonarme,110,2+1,1,5-10 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
631,1.150.000,İstanbul (Avr),Esenyurt,21/04/22,Örnek Mahallesi,Kat İrtifaklı,-,125,3+1,2,0,8,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
849,2.400.000,Antalya,Konyaaltı,09/06/22,Öğretmenevleri Mahallesi,KAT İRTİFAK,SIFIR,185,4+1,2,11-15 arası,3,Güneş Enerjisi,Evet,Emlak Ofisi,Hayır
646,799.000,Mersin,Yenişehir,27/04/22,Afetevler Mahallesi,VAR,-,90,1+1,1,4,8,Klima,Evet,Sahibinden,Hayır
852,3.170.000,Antalya,Muratpaşa,13/06/22,Güzeloba Mahallesi,KAT İRTİFAK,SIFIR,170,3+2,2,2,2,Klima,Evet,Emlak Ofisi,Hayır
597,3.250.000,Antalya,Konyaaltı,15/06/22,Gürsu Mahallesi,KAT İRTİFAK,BETORNAME,170,3+1,2,11-15 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
876,6.550.000,Çanakkale,Lapseki,16/06/22,Gazi Süleyman Paşa Mahallesi,KAT İRTİFAK,SIFIR,230,3+1,2,5-10 arası,7,Klima,Evet,Emlak Ofisi,Hayır
863,900.000,Antalya,Muratpaşa,16/06/22,Tahılpazarı Mahallesi,KAT İRTİFAK,2.EL,105,2+1,1,26-30 arası,4,Yok,Evet,Emlak Ofisi,Hayır
865,7.250.000,Antalya,Konyaaltı,13/06/22,Uncalı Mahallesi,KAT İRTİFAK,SIFIR,150,3+1,2,1,6,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
860,900.000,İstanbul (Avr),Silivri,15/06/22,Sancaktepe Mahallesi,Kat irtifakı,2011,130,3+1,1,5-10 arası,6,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1716,1.750.000,İstanbul (Avr),Esenyurt,12/10/22,Namık Kemal Mahallesi,Mülkiyet,2.El,76,1+1,1,4,24,Merkezi Sistem,Evet,Emlak Ofisi,Hayır
1768,5.000.000,İzmir,Urla,19/10/22,Kuşçular Mahallesi,Yapı kayıt belgeli,Sıfır,160,5+1,2,0,2,Güneş Enerjisi,Hayır,Sahibinden,Evet
908,200.000,İzmir,Tire,21/06/22,Arslanlar Mahallesi,-,-,130,2+1,1,31 ve üzeri,1,Soba,Evet,Emlak Ofisi,Evet
1733,930.000,İstanbul (Avr),Silivri,16/10/22,Yeni Mahallesi,kat mülkiyeti,betorname,80,2+1,1,21-25 arası,6,Doğalgaz (Kombi),,Emlak Ofisi,Hayır
624,135.000,Balıkesir,Dursunbey,18/04/22,Ayvacık Mahallesi,Mustakil,İmarli,82,3+2,1,31 ve üzeri,2,Soba,Evet,Sahibinden,Evet
1807,650.000,Aksaray,Merkez,30/10/22,Tacin Mahallesi,Ev sahibi,Yeni,-,1+1,1,0,6,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1801,400.000,Bursa,Osmangazi,29/10/22,Nalbantoğlu Mahallesi,Kat mülkiyeti,-,180,2+1,2,5-10 arası,5,Yok,Evet,Sahibinden,Hayır
1908,1.330.000,İstanbul (Avr),Zeytinburnu,29/11/22,Sümer Mahallesi,Var.,-,65,2+1,1,21-25 arası,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1777,15.000.000,Sakarya,Serdivan,21/10/22,Esentepe Mahallesi,VAR,İNŞA HALİNDE,750,7+1,4,0,2,Doğalgaz (Kombi),Evet,Sahibinden,Evet
839,2.250.000,İstanbul (Avr),Eyüp,20/10/22,Alibeyköy Mahallesi,Tapu Tahsisi Belgeli,-,-,2+1,1,21-25 arası,8,Doğalgaz (Kombi),,Sahibinden,Hayır
1894,825.000,Ankara,Etimesgut,20/11/22,Topçu Mahallesi,KAT MÜLKİYETLİ,İKİNCİ EL,95,2+1,1,11-15 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1727,2.470.000,İstanbul (Avr),Bahçelievler,07/12/22,Şirinevler Mah.,kat iltifaklı,betoname,135,3+1,1,11-15 arası,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1942,3.600.000,İstanbul (Asya),Pendik,07/12/22,Bahçelievler Mahallesi,-,-,150,3+1,3,16-20 arası,4,Doğalgaz (Kombi),Hayır,Sahibinden,Evet
1949,3.550.000,İstanbul (Avr),Esenyurt,10/12/22,Talatpaşa Mahallesi,sahibinden,apartman,110,3+1,1,5-10 arası,6,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
1945,5.850.000,Tekirdağ,Şarköy,08/12/22,İstiklal Mahallesi,Mustakil,Sıfır,380,4+1,3,0,2,Doğalgaz (Kombi),Evet,Sahibinden,Evet
1909,2.700.000,Aydın,Didim,14/12/22,Akbük Mahallesi,KAT MÜLKİYETİ,KULLANILMIŞ,110,3+1,2,5-10 arası,2,Klima,Evet,Emlak Ofisi,Hayır
1911,9.950.000,Aydın,Didim,14/12/22,Akbük Mahallesi,KAT İRTİFAKI,SIFIR,150,4+1,3,0,2,Klima,Evet,Emlak Ofisi,Evet
1715,1.700.000,İstanbul (Avr),Esenyurt,12/10/22,Namık Kemal Mahallesi,İrtifak,2.El,73,1+1,1,4,39,Merkezi Sistem,Evet,Emlak Ofisi,Evet
1912,5.500.000,Aydın,Didim,14/12/22,Efeler Mahallesi,KAT MÜLKİYETİ,SIFIR,160,3+1,3,0,2,Klima,Evet,Emlak Ofisi,Hayır
1726,1.370.000,İstanbul (Avr),Bahçelievler,07/12/22,Siyavuşpaşa Mah.,kat iltifaklı,betoname,135,3+1,1,11-15 arası,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1913,10.500.000,Aydın,Didim,14/12/22,Akbük Mahallesi,KAT MÜLKİYETİ,KULLANILMIŞ,320,5+1,4,5-10 arası,2,Klima,Evet,Emlak Ofisi,Hayır
1910,7.500.000,Aydın,Didim,14/12/22,Akbük Mahallesi,KAT MÜLKİYETİ,KULLANILMIŞ,280,4+1,3,5-10 arası,2,Klima,Evet,Emlak Ofisi,Hayır
2185,1.325.000,Konya,Karatay,23/01/23,Karaaslandede Mahallesi,Tapu,İmarlı,165,3+1,1,0,2,Doğalgaz (Kombi),Evet,Sahibinden,
2178,1.750.000,Ankara,Keçiören,21/01/23,Kavacık Subayevleri Mahallesi,Müstakil,Betonarme,100,3+1,1,21-25 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
2189,2.000.000,İstanbul (Avr),Avcılar,24/01/23,Firuzköy Mahallesi,KAT MÜLKİYETİ,-,74,1+1,1,5-10 arası,14,Kat Kaloriferi,Evet,Sahibinden,Hayır
2176,2.400.000,İzmir,Torbalı,21/01/23,Fevzi Çakmak Mahallesi,Kat irtifak,-,220,3+1,2,5-10 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
2388,1.750.000,Antalya,Kaş,22/02/23,Çeşme Mahallesi,Kat mülkiyeti,Beton arma,98,2+1,2,2,7,,Evet,Sahibinden,
2783,3.750.000,İstanbul (Avr),Çatalca,29/03/23,Ferhatpaşa Mahallesi,-,sıfır,135,3+1,1,5-10 arası,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
2032,9.750.000,Mersin,Toroslar,26/01/23,Korukent Mahallesi,KAT İNTİFAKLI,-,526,4+1,1,5-10 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
2650,5.450.000,Ankara,Yenimahalle,06/04/23,Turgut Özal Mahallesi,Var,-,185,4+1,2,3,17,Merkezi Sistem,,Sahibinden,Hayır
2198,120.000,Ankara,Mamak,25/01/23,Şahintepe Mahallesi,Katmulkiyeti,15,110,3+1,1,16-20 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Evet
2462,3.280.000,İstanbul (Avr),Esenyurt,28/02/23,Merkez Mahallesi,İrtifak,2.El,143,3+1,2,4,39,Merkezi Sistem,Evet,Emlak Ofisi,Hayır
2022,1.280.000,Tekirdağ,Çerkezköy,18/02/23,Kızılpınar Mahallesi,-,-,143,3+1,3,5-10 arası,11,Doğalgaz (Kombi),Evet,Sahibinden,Evet
2800,4.000.000,İstanbul (Asya),Kartal,06/07/23,Atalar Mahallesi,Kat Mülkiyeti,-,130,3+1,1,21-25 arası,7,Doğalgaz (Kombi),,Sahibinden,
2745,1.600,Çanakkale,Gelibolu,07/04/23,Yazıcızade Mahallesi,tapulu,Bahçeli kagir,160,2+1,1,31 ve üzeri,2,Soba,,Sahibinden,Hayır
3436,660.000,Adana,Sarıçam‎,07/07/23,Osmangazi Mahallesi,Kat mülkiyeti,Betonarme,60,1+1,1,4,8,Doğalgaz (Kombi),Evet,Sahibinden,Evet
